ferramenta,tipo_template,recurso,peso
Escala BERG (BBS),escala,infografico,1
Escala BERG (BBS),escala,biblioteca,2
Escala BPS,escala,calculadora,3
Escala BPS,escala,artigo,1
Escala BPS,escala,quiz,2
Escala BPS,escala,guia_bolso,1
Escala BPS,escala,flashcards,1
Escala BPS,escala,caso_clinico,2
Escala BPS,escala,checklist,2
Escala BPS,escala,slides,1
Escala BPS,escala,infografico,1
Escala BPS,escala,biblioteca,2
Escala CAM-ICU,escala,calculadora,3
Escala CAM-ICU,escala,artigo,1
Escala CAM-ICU,escala,quiz,2
Escala CAM-ICU,escala,guia_bolso,1
Escala CAM-ICU,escala,flashcards,1
Escala CAM-ICU,escala,caso_clinico,2
Escala CAM-ICU,escala,checklist,2
Escala CAM-ICU,escala,slides,1
Escala CAM-ICU,escala,infografico,1
Escala CAM-ICU,escala,biblioteca,2
Escala CURB-65,escala,calculadora,3
Escala CURB-65,escala,artigo,1
Escala CURB-65,escala,quiz,2
Escala CURB-65,escala,guia_bolso,1
Escala CURB-65,escala,flashcards,1
Escala CURB-65,escala,caso_clinico,2
Escala CURB-65,escala,checklist,2
Escala CURB-65,escala,slides,1
Escala CURB-65,escala,infografico,1
Escala CURB-65,escala,biblioteca,2
Escala ELPO,escala,calculadora,3
Escala ELPO,escala,artigo,1
Escala ELPO,escala,quiz,2
Escala ELPO,escala,guia_bolso,1
Escala ELPO,escala,flashcards,1
Escala ELPO,escala,caso_clinico,2
Escala ELPO,escala,checklist,2
Escala ELPO,escala,slides,1
Escala ELPO,escala,infografico,1
Escala ELPO,escala,biblioteca,2
Escala FAST,escala,calculadora,3
Escala FAST,escala,artigo,1
Escala FAST,escala,quiz,2
Escala FAST,escala,guia_bolso,1
Escala FAST,escala,flashcards,1
Escala FAST,escala,caso_clinico,2
Escala FAST,escala,checklist,2
Escala FAST,escala,slides,1
Escala FAST,escala,infografico,1
Escala FAST,escala,biblioteca,2
Escala FLACC,escala,calculadora,3
Escala FLACC,escala,artigo,1
Escala FLACC,escala,quiz,2
Escala FLACC,escala,guia_bolso,1
Escala FLACC,escala,flashcards,1
Escala FLACC,escala,caso_clinico,2
Escala FLACC,escala,checklist,2
Escala FLACC,escala,slides,1
Escala FLACC,escala,infografico,1
Escala FLACC,escala,biblioteca,2
Escala FOUR,escala,calculadora,3
Escala FOUR,escala,artigo,1
Escala FOUR,escala,quiz,2
Escala FOUR,escala,guia_bolso,1
Escala FOUR,escala,flashcards,1
Escala FOUR,escala,caso_clinico,2
Escala FOUR,escala,checklist,2
Escala FOUR,escala,slides,1
Escala FOUR,escala,infografico,1
Escala FOUR,escala,biblioteca,2
Escala Fugulin (SCP),escala,calculadora,3
Escala Fugulin (SCP),escala,artigo,1
Escala Fugulin (SCP),escala,quiz,2
Escala Fugulin (SCP),escala,guia_bolso,1
Escala Fugulin (SCP),escala,flashcards,1
Escala Fugulin (SCP),escala,caso_clinico,2
Escala Fugulin (SCP),escala,checklist,2
