origem,tipo_origem,destino,tipo_destino,relacao,peso
simulado,recurso,Calculo de Medicamentos,ferramenta,renderiza,3
biblioteca,recurso,Calculo de Medicamentos,ferramenta,renderiza,2
calculadora,recurso,Classif. Perroca (SCP),ferramenta,renderiza,3
artigo,recurso,Classif. Perroca (SCP),ferramenta,renderiza,1
quiz,recurso,Classif. Perroca (SCP),ferramenta,renderiza,2
guia_bolso,recurso,Classif. Perroca (SCP),ferramenta,renderiza,1
flashcards,recurso,Classif. Perroca (SCP),ferramenta,renderiza,1
caso_clinico,recurso,Classif. Perroca (SCP),ferramenta,renderiza,2
checklist,recurso,Classif. Perroca (SCP),ferramenta,renderiza,2
slides,recurso,Classif. Perroca (SCP),ferramenta,renderiza,1
infografico,recurso,Classif. Perroca (SCP),ferramenta,renderiza,1
biblioteca,recurso,Classif. Perroca (SCP),ferramenta,renderiza,2
artigo,recurso,Diagnosticos NANDA,ferramenta,renderiza,1
guia_bolso,recurso,Diagnosticos NANDA,ferramenta,renderiza,1
checklist,recurso,Diagnosticos NANDA,ferramenta,renderiza,2
biblioteca,recurso,Diagnosticos NANDA,ferramenta,renderiza,2
calculadora,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,3
artigo,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,1
quiz,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,2
guia_bolso,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,1
flashcards,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,1
checklist,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,2
caso_clinico,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,2
slides,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,1
infografico,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,1
mapa_mental,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,1
simulado,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,3
biblioteca,recurso,Dimensionamento de Enfermagem,ferramenta,renderiza,2
artigo,recurso,Doencas de Notificacao Compulsoria,ferramenta,renderiza,1
guia_bolso,recurso,Doencas de Notificacao Compulsoria,ferramenta,renderiza,1
checklist,recurso,Doencas de Notificacao Compulsoria,ferramenta,renderiza,2
biblioteca,recurso,Doencas de Notificacao Compulsoria,ferramenta,renderiza,2
calculadora,recurso,Escala BERG (BBS),ferramenta,renderiza,3
artigo,recurso,Escala BERG (BBS),ferramenta,renderiza,1
quiz,recurso,Escala BERG (BBS),ferramenta,renderiza,2
guia_bolso,recurso,Escala BERG (BBS),ferramenta,renderiza,1
flashcards,recurso,Escala BERG (BBS),ferramenta,renderiza,1
caso_clinico,recurso,Escala BERG (BBS),ferramenta,renderiza,2
checklist,recurso,Escala BERG (BBS),ferramenta,renderiza,2
slides,recurso,Escala BERG (BBS),ferramenta,renderiza,1
infografico,recurso,Escala BERG (BBS),ferramenta,renderiza,1
biblioteca,recurso,Escala BERG (BBS),ferramenta,renderiza,2
calculadora,recurso,Escala BPS,ferramenta,renderiza,3
artigo,recurso,Escala BPS,ferramenta,renderiza,1
quiz,recurso,Escala BPS,ferramenta,renderiza,2
guia_bolso,recurso,Escala BPS,ferramenta,renderiza,1
flashcards,recurso,Escala BPS,ferramenta,renderiza,1
caso_clinico,recurso,Escala BPS,ferramenta,renderiza,2
checklist,recurso,Escala BPS,ferramenta,renderiza,2
slides,recurso,Escala BPS,ferramenta,renderiza,1
infografico,recurso,Escala BPS,ferramenta,renderiza,1
biblioteca,recurso,Escala BPS,ferramenta,renderiza,2
calculadora,recurso,Escala CAM-ICU,ferramenta,renderiza,3
artigo,recurso,Escala CAM-ICU,ferramenta,renderiza,1
quiz,recurso,Escala CAM-ICU,ferramenta,renderiza,2
guia_bolso,recurso,Escala CAM-ICU,ferramenta,renderiza,1
flashcards,recurso,Escala CAM-ICU,ferramenta,renderiza,1
caso_clinico,recurso,Escala CAM-ICU,ferramenta,renderiza,2
checklist,recurso,Escala CAM-ICU,ferramenta,renderiza,2
slides,recurso,Escala CAM-ICU,ferramenta,renderiza,1
infografico,recurso,Escala CAM-ICU,ferramenta,renderiza,1
biblioteca,recurso,Escala CAM-ICU,ferramenta,renderiza,2
calculadora,recurso,Escala CURB-65,ferramenta,renderiza,3
artigo,recurso,Escala CURB-65,ferramenta,renderiza,1
quiz,recurso,Escala CURB-65,ferramenta,renderiza,2
guia_bolso,recurso,Escala CURB-65,ferramenta,renderiza,1
flashcards,recurso,Escala CURB-65,ferramenta,renderiza,1
caso_clinico,recurso,Escala CURB-65,ferramenta,renderiza,2
checklist,recurso,Escala CURB-65,ferramenta,renderiza,2
slides,recurso,Escala CURB-65,ferramenta,renderiza,1
infografico,recurso,Escala CURB-65,ferramenta,renderiza,1
biblioteca,recurso,Escala CURB-65,ferramenta,renderiza,2
calculadora,recurso,Escala ELPO,ferramenta,renderiza,3
artigo,recurso,Escala ELPO,ferramenta,renderiza,1
quiz,recurso,Escala ELPO,ferramenta,renderiza,2
guia_bolso,recurso,Escala ELPO,ferramenta,renderiza,1
flashcards,recurso,Escala ELPO,ferramenta,renderiza,1
caso_clinico,recurso,Escala ELPO,ferramenta,renderiza,2
checklist,recurso,Escala ELPO,ferramenta,renderiza,2
slides,recurso,Escala ELPO,ferramenta,renderiza,1
infografico,recurso,Escala ELPO,ferramenta,renderiza,1
biblioteca,recurso,Escala ELPO,ferramenta,renderiza,2
calculadora,recurso,Escala FAST,ferramenta,renderiza,3
artigo,recurso,Escala FAST,ferramenta,renderiza,1
quiz,recurso,Escala FAST,ferramenta,renderiza,2
guia_bolso,recurso,Escala FAST,ferramenta,renderiza,1
flashcards,recurso,Escala FAST,ferramenta,renderiza,1
caso_clinico,recurso,Escala FAST,ferramenta,renderiza,2
checklist,recurso,Escala FAST,ferramenta,renderiza,2
slides,recurso,Escala FAST,ferramenta,renderiza,1
infografico,recurso,Escala FAST,ferramenta,renderiza,1
biblioteca,recurso,Escala FAST,ferramenta,renderiza,2
calculadora,recurso,Escala FLACC,ferramenta,renderiza,3
artigo,recurso,Escala FLACC,ferramenta,renderiza,1
quiz,recurso,Escala FLACC,ferramenta,renderiza,2
guia_bolso,recurso,Escala FLACC,ferramenta,renderiza,1
flashcards,recurso,Escala FLACC,ferramenta,renderiza,1
caso_clinico,recurso,Escala FLACC,ferramenta,renderiza,2
checklist,recurso,Escala FLACC,ferramenta,renderiza,2
slides,recurso,Escala FLACC,ferramenta,renderiza,1
infografico,recurso,Escala FLACC,ferramenta,renderiza,1
biblioteca,recurso,Escala FLACC,ferramenta,renderiza,2
calculadora,recurso,Escala FOUR,ferramenta,renderiza,3
artigo,recurso,Escala FOUR,ferramenta,renderiza,1
quiz,recurso,Escala FOUR,ferramenta,renderiza,2
guia_bolso,recurso,Escala FOUR,ferramenta,renderiza,1
flashcards,recurso,Escala FOUR,ferramenta,renderiza,1
caso_clinico,recurso,Escala FOUR,ferramenta,renderiza,2
checklist,recurso,Escala FOUR,ferramenta,renderiza,2
slides,recurso,Escala FOUR,ferramenta,renderiza,1
infografico,recurso,Escala FOUR,ferramenta,renderiza,1
biblioteca,recurso,Escala FOUR,ferramenta,renderiza,2
calculadora,recurso,Escala Fugulin (SCP),ferramenta,renderiza,3
artigo,recurso,Escala Fugulin (SCP),ferramenta,renderiza,1
quiz,recurso,Escala Fugulin (SCP),ferramenta,renderiza,2
guia_bolso,recurso,Escala Fugulin (SCP),ferramenta,renderiza,1
flashcards,recurso,Escala Fugulin (SCP),ferramenta,renderiza,1
caso_clinico,recurso,Escala Fugulin (SCP),ferramenta,renderiza,2
checklist,recurso,Escala Fugulin (SCP),ferramenta,renderiza,2
slides,recurso,Escala Fugulin (SCP),ferramenta,renderiza,1
infografico,recurso,Escala Fugulin (SCP),ferramenta,renderiza,1
biblioteca,recurso,Escala Fugulin (SCP),ferramenta,renderiza,2
calculadora,recurso,Escala GDS,ferramenta,renderiza,3
artigo,recurso,Escala GDS,ferramenta,renderiza,1
quiz,recurso,Escala GDS,ferramenta,renderiza,2
guia_bolso,recurso,Escala GDS,ferramenta,renderiza,1
flashcards,recurso,Escala GDS,ferramenta,renderiza,1
caso_clinico,recurso,Escala GDS,ferramenta,renderiza,2
checklist,recurso,Escala GDS,ferramenta,renderiza,2
slides,recurso,Escala GDS,ferramenta,renderiza,1
infografico,recurso,Escala GDS,ferramenta,renderiza,1
biblioteca,recurso,Escala GDS,ferramenta,renderiza,2
calculadora,recurso,Escala Hamilton,ferramenta,renderiza,3
artigo,recurso,Escala Hamilton,ferramenta,renderiza,1
quiz,recurso,Escala Hamilton,ferramenta,renderiza,2
guia_bolso,recurso,Escala Hamilton,ferramenta,renderiza,1
flashcards,recurso,Escala Hamilton,ferramenta,renderiza,1
caso_clinico,recurso,Escala Hamilton,ferramenta,renderiza,2
checklist,recurso,Escala Hamilton,ferramenta,renderiza,2
slides,recurso,Escala Hamilton,ferramenta,renderiza,1
infografico,recurso,Escala Hamilton,ferramenta,renderiza,1
biblioteca,recurso,Escala Hamilton,ferramenta,renderiza,2
calculadora,recurso,Escala Hendrich II,ferramenta,renderiza,3
artigo,recurso,Escala Hendrich II,ferramenta,renderiza,1
quiz,recurso,Escala Hendrich II,ferramenta,renderiza,2
guia_bolso,recurso,Escala Hendrich II,ferramenta,renderiza,1
flashcards,recurso,Escala Hendrich II,ferramenta,renderiza,1
caso_clinico,recurso,Escala Hendrich II,ferramenta,renderiza,2
checklist,recurso,Escala Hendrich II,ferramenta,renderiza,2
slides,recurso,Escala Hendrich II,ferramenta,renderiza,1
infografico,recurso,Escala Hendrich II,ferramenta,renderiza,1
biblioteca,recurso,Escala Hendrich II,ferramenta,renderiza,2
calculadora,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,3
artigo,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,1
quiz,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,2
guia_bolso,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,1
flashcards,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,1
caso_clinico,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,2
checklist,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,2
slides,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,1
infografico,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,1
biblioteca,recurso,Escala Humpty-Dumpty,ferramenta,renderiza,2
calculadora,recurso,Escala LANSS,ferramenta,renderiza,3
artigo,recurso,Escala LANSS,ferramenta,renderiza,1
quiz,recurso,Escala LANSS,ferramenta,renderiza,2
guia_bolso,recurso,Escala LANSS,ferramenta,renderiza,1
flashcards,recurso,Escala LANSS,ferramenta,renderiza,1
caso_clinico,recurso,Escala LANSS,ferramenta,renderiza,2
checklist,recurso,Escala LANSS,ferramenta,renderiza,2
slides,recurso,Escala LANSS,ferramenta,renderiza,1
infografico,recurso,Escala LANSS,ferramenta,renderiza,1
biblioteca,recurso,Escala LANSS,ferramenta,renderiza,2
calculadora,recurso,Escala Lawton,ferramenta,renderiza,3
artigo,recurso,Escala Lawton,ferramenta,renderiza,1
quiz,recurso,Escala Lawton,ferramenta,renderiza,2
guia_bolso,recurso,Escala Lawton,ferramenta,renderiza,1
flashcards,recurso,Escala Lawton,ferramenta,renderiza,1
caso_clinico,recurso,Escala Lawton,ferramenta,renderiza,2
checklist,recurso,Escala Lawton,ferramenta,renderiza,2
slides,recurso,Escala Lawton,ferramenta,renderiza,1
infografico,recurso,Escala Lawton,ferramenta,renderiza,1
biblioteca,recurso,Escala Lawton,ferramenta,renderiza,2
calculadora,recurso,Escala MEEM,ferramenta,renderiza,3
