origem,tipo_origem,destino,tipo_destino,relacao,peso
artigo,recurso,Escala SAPS III,ferramenta,renderiza,1
quiz,recurso,Escala SAPS III,ferramenta,renderiza,2
guia_bolso,recurso,Escala SAPS III,ferramenta,renderiza,1
flashcards,recurso,Escala SAPS III,ferramenta,renderiza,1
caso_clinico,recurso,Escala SAPS III,ferramenta,renderiza,2
checklist,recurso,Escala SAPS III,ferramenta,renderiza,2
slides,recurso,Escala SAPS III,ferramenta,renderiza,1
infografico,recurso,Escala SAPS III,ferramenta,renderiza,1
biblioteca,recurso,Escala SAPS III,ferramenta,renderiza,2
calculadora,recurso,Escala Tinetti (POMA),ferramenta,renderiza,3
artigo,recurso,Escala Tinetti (POMA),ferramenta,renderiza,1
quiz,recurso,Escala Tinetti (POMA),ferramenta,renderiza,2
guia_bolso,recurso,Escala Tinetti (POMA),ferramenta,renderiza,1
flashcards,recurso,Escala Tinetti (POMA),ferramenta,renderiza,1
caso_clinico,recurso,Escala Tinetti (POMA),ferramenta,renderiza,2
checklist,recurso,Escala Tinetti (POMA),ferramenta,renderiza,2
slides,recurso,Escala Tinetti (POMA),ferramenta,renderiza,1
infografico,recurso,Escala Tinetti (POMA),ferramenta,renderiza,1
biblioteca,recurso,Escala Tinetti (POMA),ferramenta,renderiza,2
calculadora,recurso,Escala Wood Downes,ferramenta,renderiza,3
artigo,recurso,Escala Wood Downes,ferramenta,renderiza,1
quiz,recurso,Escala Wood Downes,ferramenta,renderiza,2
guia_bolso,recurso,Escala Wood Downes,ferramenta,renderiza,1
flashcards,recurso,Escala Wood Downes,ferramenta,renderiza,1
caso_clinico,recurso,Escala Wood Downes,ferramenta,renderiza,2
checklist,recurso,Escala Wood Downes,ferramenta,renderiza,2
slides,recurso,Escala Wood Downes,ferramenta,renderiza,1
infografico,recurso,Escala Wood Downes,ferramenta,renderiza,1
biblioteca,recurso,Escala Wood Downes,ferramenta,renderiza,2
calculadora,recurso,Escala Zarit,ferramenta,renderiza,3
artigo,recurso,Escala Zarit,ferramenta,renderiza,1
quiz,recurso,Escala Zarit,ferramenta,renderiza,2
guia_bolso,recurso,Escala Zarit,ferramenta,renderiza,1
flashcards,recurso,Escala Zarit,ferramenta,renderiza,1
caso_clinico,recurso,Escala Zarit,ferramenta,renderiza,2
checklist,recurso,Escala Zarit,ferramenta,renderiza,2
slides,recurso,Escala Zarit,ferramenta,renderiza,1
infografico,recurso,Escala Zarit,ferramenta,renderiza,1
biblioteca,recurso,Escala Zarit,ferramenta,renderiza,2
calculadora,recurso,Escala de Ballard,ferramenta,renderiza,3
artigo,recurso,Escala de Ballard,ferramenta,renderiza,1
quiz,recurso,Escala de Ballard,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Ballard,ferramenta,renderiza,1
flashcards,recurso,Escala de Ballard,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Ballard,ferramenta,renderiza,2
checklist,recurso,Escala de Ballard,ferramenta,renderiza,2
slides,recurso,Escala de Ballard,ferramenta,renderiza,1
infografico,recurso,Escala de Ballard,ferramenta,renderiza,1
biblioteca,recurso,Escala de Ballard,ferramenta,renderiza,2
calculadora,recurso,Escala de Barthel,ferramenta,renderiza,3
artigo,recurso,Escala de Barthel,ferramenta,renderiza,1
quiz,recurso,Escala de Barthel,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Barthel,ferramenta,renderiza,1
flashcards,recurso,Escala de Barthel,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Barthel,ferramenta,renderiza,2
checklist,recurso,Escala de Barthel,ferramenta,renderiza,2
slides,recurso,Escala de Barthel,ferramenta,renderiza,1
infografico,recurso,Escala de Barthel,ferramenta,renderiza,1
biblioteca,recurso,Escala de Barthel,ferramenta,renderiza,2
calculadora,recurso,Escala de CRIES,ferramenta,renderiza,3
artigo,recurso,Escala de CRIES,ferramenta,renderiza,1
quiz,recurso,Escala de CRIES,ferramenta,renderiza,2
guia_bolso,recurso,Escala de CRIES,ferramenta,renderiza,1
flashcards,recurso,Escala de CRIES,ferramenta,renderiza,1
caso_clinico,recurso,Escala de CRIES,ferramenta,renderiza,2
checklist,recurso,Escala de CRIES,ferramenta,renderiza,2
slides,recurso,Escala de CRIES,ferramenta,renderiza,1
infografico,recurso,Escala de CRIES,ferramenta,renderiza,1
biblioteca,recurso,Escala de CRIES,ferramenta,renderiza,2
calculadora,recurso,Escala de Cincinnati,ferramenta,renderiza,3
artigo,recurso,Escala de Cincinnati,ferramenta,renderiza,1
quiz,recurso,Escala de Cincinnati,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Cincinnati,ferramenta,renderiza,1
flashcards,recurso,Escala de Cincinnati,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Cincinnati,ferramenta,renderiza,2
checklist,recurso,Escala de Cincinnati,ferramenta,renderiza,2
slides,recurso,Escala de Cincinnati,ferramenta,renderiza,1
infografico,recurso,Escala de Cincinnati,ferramenta,renderiza,1
biblioteca,recurso,Escala de Cincinnati,ferramenta,renderiza,2
calculadora,recurso,Escala de Cornell,ferramenta,renderiza,3
artigo,recurso,Escala de Cornell,ferramenta,renderiza,1
quiz,recurso,Escala de Cornell,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Cornell,ferramenta,renderiza,1
flashcards,recurso,Escala de Cornell,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Cornell,ferramenta,renderiza,2
checklist,recurso,Escala de Cornell,ferramenta,renderiza,2
slides,recurso,Escala de Cornell,ferramenta,renderiza,1
infografico,recurso,Escala de Cornell,ferramenta,renderiza,1
biblioteca,recurso,Escala de Cornell,ferramenta,renderiza,2
calculadora,recurso,Escala de Downton,ferramenta,renderiza,3
artigo,recurso,Escala de Downton,ferramenta,renderiza,1
quiz,recurso,Escala de Downton,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Downton,ferramenta,renderiza,1
flashcards,recurso,Escala de Downton,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Downton,ferramenta,renderiza,2
checklist,recurso,Escala de Downton,ferramenta,renderiza,2
slides,recurso,Escala de Downton,ferramenta,renderiza,1
infografico,recurso,Escala de Downton,ferramenta,renderiza,1
biblioteca,recurso,Escala de Downton,ferramenta,renderiza,2
calculadora,recurso,Escala de Gosnell,ferramenta,renderiza,3
artigo,recurso,Escala de Gosnell,ferramenta,renderiza,1
quiz,recurso,Escala de Gosnell,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Gosnell,ferramenta,renderiza,1
flashcards,recurso,Escala de Gosnell,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Gosnell,ferramenta,renderiza,2
checklist,recurso,Escala de Gosnell,ferramenta,renderiza,2
slides,recurso,Escala de Gosnell,ferramenta,renderiza,1
infografico,recurso,Escala de Gosnell,ferramenta,renderiza,1
biblioteca,recurso,Escala de Gosnell,ferramenta,renderiza,2
calculadora,recurso,Escala de Johns,ferramenta,renderiza,3
artigo,recurso,Escala de Johns,ferramenta,renderiza,1
quiz,recurso,Escala de Johns,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Johns,ferramenta,renderiza,1
flashcards,recurso,Escala de Johns,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Johns,ferramenta,renderiza,2
checklist,recurso,Escala de Johns,ferramenta,renderiza,2
slides,recurso,Escala de Johns,ferramenta,renderiza,1
infografico,recurso,Escala de Johns,ferramenta,renderiza,1
biblioteca,recurso,Escala de Johns,ferramenta,renderiza,2
calculadora,recurso,Escala de Jouvet,ferramenta,renderiza,3
artigo,recurso,Escala de Jouvet,ferramenta,renderiza,1
quiz,recurso,Escala de Jouvet,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Jouvet,ferramenta,renderiza,1
flashcards,recurso,Escala de Jouvet,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Jouvet,ferramenta,renderiza,2
checklist,recurso,Escala de Jouvet,ferramenta,renderiza,2
slides,recurso,Escala de Jouvet,ferramenta,renderiza,1
infografico,recurso,Escala de Jouvet,ferramenta,renderiza,1
biblioteca,recurso,Escala de Jouvet,ferramenta,renderiza,2
calculadora,recurso,Escala de Katz,ferramenta,renderiza,3
artigo,recurso,Escala de Katz,ferramenta,renderiza,1
quiz,recurso,Escala de Katz,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Katz,ferramenta,renderiza,1
flashcards,recurso,Escala de Katz,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Katz,ferramenta,renderiza,2
checklist,recurso,Escala de Katz,ferramenta,renderiza,2
slides,recurso,Escala de Katz,ferramenta,renderiza,1
infografico,recurso,Escala de Katz,ferramenta,renderiza,1
biblioteca,recurso,Escala de Katz,ferramenta,renderiza,2
calculadora,recurso,Escala de Lachs,ferramenta,renderiza,3
artigo,recurso,Escala de Lachs,ferramenta,renderiza,1
quiz,recurso,Escala de Lachs,ferramenta,renderiza,2
guia_bolso,recurso,Escala de Lachs,ferramenta,renderiza,1
flashcards,recurso,Escala de Lachs,ferramenta,renderiza,1
caso_clinico,recurso,Escala de Lachs,ferramenta,renderiza,2
checklist,recurso,Escala de Lachs,ferramenta,renderiza,2
slides,recurso,Escala de Lachs,ferramenta,renderiza,1
infografico,recurso,Escala de Lachs,ferramenta,renderiza,1
biblioteca,recurso,Escala de Lachs,ferramenta,renderiza,2
calculadora,recurso,Escala qSOFA,ferramenta,renderiza,3
artigo,recurso,Escala qSOFA,ferramenta,renderiza,1
quiz,recurso,Escala qSOFA,ferramenta,renderiza,2
guia_bolso,recurso,Escala qSOFA,ferramenta,renderiza,1
flashcards,recurso,Escala qSOFA,ferramenta,renderiza,1
caso_clinico,recurso,Escala qSOFA,ferramenta,renderiza,2
checklist,recurso,Escala qSOFA,ferramenta,renderiza,2
slides,recurso,Escala qSOFA,ferramenta,renderiza,1
infografico,recurso,Escala qSOFA,ferramenta,renderiza,1
biblioteca,recurso,Escala qSOFA,ferramenta,renderiza,2
artigo,recurso,Formulario SAEP,ferramenta,renderiza,1
guia_bolso,recurso,Formulario SAEP,ferramenta,renderiza,1
checklist,recurso,Formulario SAEP,ferramenta,renderiza,2
biblioteca,recurso,Formulario SAEP,ferramenta,renderiza,2
calculadora,recurso,Idade Gestacional e DPP,ferramenta,renderiza,3
artigo,recurso,Idade Gestacional e DPP,ferramenta,renderiza,1
quiz,recurso,Idade Gestacional e DPP,ferramenta,renderiza,2
guia_bolso,recurso,Idade Gestacional e DPP,ferramenta,renderiza,1
flashcards,recurso,Idade Gestacional e DPP,ferramenta,renderiza,1
checklist,recurso,Idade Gestacional e DPP,ferramenta,renderiza,2
caso_clinico,recurso,Idade Gestacional e DPP,ferramenta,renderiza,2
slides,recurso,Idade Gestacional e DPP,ferramenta,renderiza,1
infografico,recurso,Idade Gestacional e DPP,ferramenta,renderiza,1
mapa_mental,recurso,Idade Gestacional e DPP,ferramenta,renderiza,1
simulado,recurso,Idade Gestacional e DPP,ferramenta,renderiza,3
biblioteca,recurso,Idade Gestacional e DPP,ferramenta,renderiza,2
calculadora,recurso,Indice de Bishop,ferramenta,renderiza,3
artigo,recurso,Indice de Bishop,ferramenta,renderiza,1
quiz,recurso,Indice de Bishop,ferramenta,renderiza,2
guia_bolso,recurso,Indice de Bishop,ferramenta,renderiza,1
flashcards,recurso,Indice de Bishop,ferramenta,renderiza,1
caso_clinico,recurso,Indice de Bishop,ferramenta,renderiza,2
checklist,recurso,Indice de Bishop,ferramenta,renderiza,2
slides,recurso,Indice de Bishop,ferramenta,renderiza,1
infografico,recurso,Indice de Bishop,ferramenta,renderiza,1
biblioteca,recurso,Indice de Bishop,ferramenta,renderiza,2
quiz,recurso,Quiz Interativo,ferramenta,renderiza,2
simulado,recurso,Quiz Interativo,ferramenta,renderiza,3
flashcards,recurso,Quiz Interativo,ferramenta,renderiza,1
biblioteca,recurso,Quiz Interativo,ferramenta,renderiza,2
calculadora,recurso,Rancho Los Amigos,ferramenta,renderiza,3
artigo,recurso,Rancho Los Amigos,ferramenta,renderiza,1
quiz,recurso,Rancho Los Amigos,ferramenta,renderiza,2
guia_bolso,recurso,Rancho Los Amigos,ferramenta,renderiza,1
flashcards,recurso,Rancho Los Amigos,ferramenta,renderiza,1
caso_clinico,recurso,Rancho Los Amigos,ferramenta,renderiza,2
checklist,recurso,Rancho Los Amigos,ferramenta,renderiza,2
slides,recurso,Rancho Los Amigos,ferramenta,renderiza,1
infografico,recurso,Rancho Los Amigos,ferramenta,renderiza,1
biblioteca,recurso,Rancho Los Amigos,ferramenta,renderiza,2
artigo,recurso,SBAR Passagem de Plantao,ferramenta,renderiza,1
guia_bolso,recurso,SBAR Passagem de Plantao,ferramenta,renderiza,1
checklist,recurso,SBAR Passagem de Plantao,ferramenta,renderiza,2
biblioteca,recurso,SBAR Passagem de Plantao,ferramenta,renderiza,2
artigo,recurso,Silverman Anderson,ferramenta,renderiza,1
guia_bolso,recurso,Silverman Anderson,ferramenta,renderiza,1
checklist,recurso,Silverman Anderson,ferramenta,renderiza,2
biblioteca,recurso,Silverman Anderson,ferramenta,renderiza,2
simulado,recurso,Simulado Bloco Operat.,ferramenta,renderiza,3
quiz,recurso,Simulado Bloco Operat.,ferramenta,renderiza,2
caso_clinico,recurso,Simulado Bloco Operat.,ferramenta,renderiza,2
biblioteca,recurso,Simulado Bloco Operat.,ferramenta,renderiza,2
simulado,recurso,Simulado DNC,ferramenta,renderiza,3
quiz,recurso,Simulado DNC,ferramenta,renderiza,2
caso_clinico,recurso,Simulado DNC,ferramenta,renderiza,2
biblioteca,recurso,Simulado DNC,ferramenta,renderiza,2
simulado,recurso,Simulado Enfermeiros 1,ferramenta,renderiza,3
quiz,recurso,Simulado Enfermeiros 1,ferramenta,renderiza,2
caso_clinico,recurso,Simulado Enfermeiros 1,ferramenta,renderiza,2
biblioteca,recurso,Simulado Enfermeiros 1,ferramenta,renderiza,2
simulado,recurso,Simulado Enfermeiros 2,ferramenta,renderiza,3
quiz,recurso,Simulado Enfermeiros 2,ferramenta,renderiza,2
caso_clinico,recurso,Simulado Enfermeiros 2,ferramenta,renderiza,2
biblioteca,recurso,Simulado Enfermeiros 2,ferramenta,renderiza,2
simulado,recurso,Simulado PCR,ferramenta,renderiza,3
quiz,recurso,Simulado PCR,ferramenta,renderiza,2
caso_clinico,recurso,Simulado PCR,ferramenta,renderiza,2
biblioteca,recurso,Simulado PCR,ferramenta,renderiza,2
simulado,recurso,Simulado Seguranca Paciente,ferramenta,renderiza,3
quiz,recurso,Simulado Seguranca Paciente,ferramenta,renderiza,2
caso_clinico,recurso,Simulado Seguranca Paciente,ferramenta,renderiza,2
biblioteca,recurso,Simulado Seguranca Paciente,ferramenta,renderiza,2
simulado,recurso,Simulado Tecnicos 1,ferramenta,renderiza,3
quiz,recurso,Simulado Tecnicos 1,ferramenta,renderiza,2
caso_clinico,recurso,Simulado Tecnicos 1,ferramenta,renderiza,2
biblioteca,recurso,Simulado Tecnicos 1,ferramenta,renderiza,2
simulado,recurso,Simulado Tecnicos 2,ferramenta,renderiza,3
quiz,recurso,Simulado Tecnicos 2,ferramenta,renderiza,2
caso_clinico,recurso,Simulado Tecnicos 2,ferramenta,renderiza,2
biblioteca,recurso,Simulado Tecnicos 2,ferramenta,renderiza,2
simulado,recurso,Simulado Vacinas,ferramenta,renderiza,3
quiz,recurso,Simulado Vacinas,ferramenta,renderiza,2
caso_clinico,recurso,Simulado Vacinas,ferramenta,renderiza,2
biblioteca,recurso,Simulado Vacinas,ferramenta,renderiza,2
artigo,recurso,Vacinas da Crianca,ferramenta,renderiza,1
guia_bolso,recurso,Vacinas da Crianca,ferramenta,renderiza,1
checklist,recurso,Vacinas da Crianca,ferramenta,renderiza,2
biblioteca,recurso,Vacinas da Crianca,ferramenta,renderiza,2
Calculadora de Exames Laboratoriais,ferramenta,Sinais Vitais,biblioteca,complementar,2
Calculadora de Exames Laboratoriais,ferramenta,Exames Lab.,biblioteca,direto,3
Calculadora de Exames Laboratoriais,ferramenta,Anatomia/Fisiol.,biblioteca,complementar,2
Calculadora de Exames Laboratoriais,ferramenta,Doencas,biblioteca,direto,3
Calculadora de Exames Laboratoriais,ferramenta,Protocolos,biblioteca,complementar,2
Calculadora de Exames Laboratoriais,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,complementar,2
Calculadora de Exames Laboratoriais,ferramenta,Seguranca Paciente,biblioteca,complementar,2
Calculadora de Exames Laboratoriais,ferramenta,Educacao/Avaliacao,biblioteca,complementar,2
Calculadora de Exames Laboratoriais,ferramenta,UTI/Emerg.,biblioteca,complementar,2
Dimensionamento de Enfermagem,ferramenta,Sinais Vitais,biblioteca,direto,3
Dimensionamento de Enfermagem,ferramenta,Doencas,biblioteca,complementar,2
Dimensionamento de Enfermagem,ferramenta,Protocolos,biblioteca,direto,3
Dimensionamento de Enfermagem,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,direto,3
Dimensionamento de Enfermagem,ferramenta,Seguranca Paciente,biblioteca,direto,3
Dimensionamento de Enfermagem,ferramenta,Legislacao/CLT,biblioteca,direto,3
Dimensionamento de Enfermagem,ferramenta,Educacao/Avaliacao,biblioteca,complementar,2
Dimensionamento de Enfermagem,ferramenta,Bloco Operat.,biblioteca,complementar,2
Dimensionamento de Enfermagem,ferramenta,UTI/Emerg.,biblioteca,direto,3
Idade Gestacional e DPP,ferramenta,Medicamentos,biblioteca,complementar,2
Idade Gestacional e DPP,ferramenta,Sinais Vitais,biblioteca,complementar,2
Idade Gestacional e DPP,ferramenta,Anatomia/Fisiol.,biblioteca,direto,3
Idade Gestacional e DPP,ferramenta,Doencas,biblioteca,direto,3
Idade Gestacional e DPP,ferramenta,Protocolos,biblioteca,direto,3
Idade Gestacional e DPP,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,direto,3
Idade Gestacional e DPP,ferramenta,Seguranca Paciente,biblioteca,complementar,2
Idade Gestacional e DPP,ferramenta,Educacao/Avaliacao,biblioteca,complementar,2
Idade Gestacional e DPP,ferramenta,Pediatria/Neo.,biblioteca,direto,3
Idade Gestacional e DPP,ferramenta,UTI/Emerg.,biblioteca,complementar,2
Idade Gestacional e DPP,ferramenta,Nutricao,biblioteca,complementar,2
Calculo de Medicamentos,ferramenta,Medicamentos,biblioteca,direto,3
Calculo de Medicamentos,ferramenta,Dispositivos,biblioteca,direto,3
Calculo de Medicamentos,ferramenta,Seringas,biblioteca,direto,3
Calculo de Medicamentos,ferramenta,Exames Lab.,biblioteca,complementar,2
Calculo de Medicamentos,ferramenta,Anatomia/Fisiol.,biblioteca,direto,3
Calculo de Medicamentos,ferramenta,Doencas,biblioteca,complementar,2
Calculo de Medicamentos,ferramenta,Protocolos,biblioteca,direto,3
Calculo de Medicamentos,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,complementar,2
Calculo de Medicamentos,ferramenta,Seguranca Paciente,biblioteca,direto,3
Calculo de Medicamentos,ferramenta,Educacao/Avaliacao,biblioteca,complementar,2
Calculo de Medicamentos,ferramenta,Pediatria/Neo.,biblioteca,direto,3
Calculo de Medicamentos,ferramenta,UTI/Emerg.,biblioteca,complementar,2
Vacinas da Crianca,ferramenta,Medicamentos,biblioteca,direto,3
Vacinas da Crianca,ferramenta,Anatomia/Fisiol.,biblioteca,direto,3
Vacinas da Crianca,ferramenta,Doencas,biblioteca,direto,3
Vacinas da Crianca,ferramenta,Protocolos,biblioteca,direto,3
Vacinas da Crianca,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,complementar,2
Vacinas da Crianca,ferramenta,Seguranca Paciente,biblioteca,complementar,2
Vacinas da Crianca,ferramenta,Educacao/Avaliacao,biblioteca,complementar,2
Vacinas da Crianca,ferramenta,Pediatria/Neo.,biblioteca,direto,3
Vacinas da Crianca,ferramenta,Vacinas/Epidem.,biblioteca,direto,3
Vacinas da Crianca,ferramenta,Nutricao,biblioteca,complementar,2
Doencas de Notificacao Compulsoria,ferramenta,Anatomia/Fisiol.,biblioteca,complementar,2
Doencas de Notificacao Compulsoria,ferramenta,Doencas,biblioteca,direto,3
Doencas de Notificacao Compulsoria,ferramenta,Protocolos,biblioteca,direto,3
Doencas de Notificacao Compulsoria,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,complementar,2
Doencas de Notificacao Compulsoria,ferramenta,Seguranca Paciente,biblioteca,direto,3
Doencas de Notificacao Compulsoria,ferramenta,Legislacao/CLT,biblioteca,direto,3
Doencas de Notificacao Compulsoria,ferramenta,Educacao/Avaliacao,biblioteca,complementar,2
Doencas de Notificacao Compulsoria,ferramenta,Pediatria/Neo.,biblioteca,complementar,2
Doencas de Notificacao Compulsoria,ferramenta,UTI/Emerg.,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,Medicamentos,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Dispositivos,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Feridas,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,Curativos,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Sinais Vitais,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Exames Lab.,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Anatomia/Fisiol.,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,Doencas,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,Protocolos,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,Seguranca Paciente,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,Educacao/Avaliacao,biblioteca,direto,3
Diagnosticos NANDA,ferramenta,Geriatria,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Pediatria/Neo.,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Saude Mental,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,UTI/Emerg.,biblioteca,complementar,2
Diagnosticos NANDA,ferramenta,Nutricao,biblioteca,complementar,2
Formulario SAEP,ferramenta,Medicamentos,biblioteca,direto,3
Formulario SAEP,ferramenta,Dispositivos,biblioteca,direto,3
Formulario SAEP,ferramenta,Sinais Vitais,biblioteca,direto,3
Formulario SAEP,ferramenta,Anatomia/Fisiol.,biblioteca,direto,3
Formulario SAEP,ferramenta,Doencas,biblioteca,complementar,2
Formulario SAEP,ferramenta,Protocolos,biblioteca,direto,3
Formulario SAEP,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,direto,3
Formulario SAEP,ferramenta,Seguranca Paciente,biblioteca,direto,3
Formulario SAEP,ferramenta,Educacao/Avaliacao,biblioteca,complementar,2
Formulario SAEP,ferramenta,Bloco Operat.,biblioteca,direto,3
Formulario SAEP,ferramenta,UTI/Emerg.,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Medicamentos,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Dispositivos,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Feridas,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Curativos,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Sinais Vitais,biblioteca,direto,3
SBAR Passagem de Plantao,ferramenta,Exames Lab.,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Anatomia/Fisiol.,biblioteca,direto,3
SBAR Passagem de Plantao,ferramenta,Doencas,biblioteca,direto,3
SBAR Passagem de Plantao,ferramenta,Protocolos,biblioteca,direto,3
SBAR Passagem de Plantao,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,direto,3
SBAR Passagem de Plantao,ferramenta,Seguranca Paciente,biblioteca,direto,3
SBAR Passagem de Plantao,ferramenta,Educacao/Avaliacao,biblioteca,direto,3
SBAR Passagem de Plantao,ferramenta,Geriatria,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Pediatria/Neo.,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,Vent. Mecanica,biblioteca,complementar,2
SBAR Passagem de Plantao,ferramenta,UTI/Emerg.,biblioteca,complementar,2
Calculadora de Ferias,ferramenta,Legislacao/CLT,biblioteca,direto,3
Calculadora Adicional Noturno,ferramenta,Legislacao/CLT,biblioteca,direto,3
Calculadora Horas Extras,ferramenta,Legislacao/CLT,biblioteca,direto,3
Calculadora Rescisao,ferramenta,Legislacao/CLT,biblioteca,direto,3
Simulado Tecnicos 1,ferramenta,Medicamentos,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Dispositivos,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Seringas,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Feridas,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Curativos,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Sinais Vitais,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Exames Lab.,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Anatomia/Fisiol.,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Doencas,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Protocolos,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Seguranca Paciente,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Legislacao/CLT,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Educacao/Avaliacao,biblioteca,direto,3
Simulado Tecnicos 1,ferramenta,Bloco Operat.,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Geriatria,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Pediatria/Neo.,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Saude Mental,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Vent. Mecanica,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,UTI/Emerg.,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Vacinas/Epidem.,biblioteca,complementar,2
Simulado Tecnicos 1,ferramenta,Nutricao,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Medicamentos,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Dispositivos,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Seringas,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Feridas,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Curativos,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Sinais Vitais,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Exames Lab.,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Anatomia/Fisiol.,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Doencas,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Protocolos,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,SAE/NANDA/NIC/NOC,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Seguranca Paciente,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Legislacao/CLT,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Educacao/Avaliacao,biblioteca,direto,3
Simulado Tecnicos 2,ferramenta,Bloco Operat.,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Geriatria,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Pediatria/Neo.,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Saude Mental,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Vent. Mecanica,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,UTI/Emerg.,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Vacinas/Epidem.,biblioteca,complementar,2
Simulado Tecnicos 2,ferramenta,Nutricao,biblioteca,complementar,2
