arquivo;backdrop_blur;drop_shadow;blur_pesado;shadow_pesado;font_inter;h1_font_sans;body_font_sans;nunito_preloads_ociosos;imgs_total;imgs_sem_lazy;imgs_sem_alt;imgs_sem_decoding
guia_rapido_dispositivos.html;0;0;0;0;0;1;1;0;13;0;0;0
guia_rapido_lei5905-73_criacao_cofen_coren.html;0;0;0;0;0;0;1;0;5;0;0;0
guia_rapido_pnab.html;0;0;0;0;0;1;1;0;0;0;0;0
guia_rapido_seringa_insulina.html;0;0;0;0;0;1;1;0;2;0;0;0
hamilton.html;0;0;0;0;0;1;1;0;0;0;0;0
header.html;0;0;0;0;0;1;0;0;0;0;0;0
hendrich.html;0;0;0;0;0;1;1;0;0;0;0;0
humpty.html;0;0;0;0;0;1;1;0;0;0;0;0
imc.html;0;0;0;0;0;1;1;0;0;0;0;0
index.html;0;0;0;0;0;1;1;0;102;0;0;0
instrumentais-cirurgicos.html;0;0;0;0;0;1;1;0;1;0;0;0
insulina.html;0;0;0;0;0;1;1;0;1;0;0;0
integracoes_calculadora_de_gasometria.html;0;0;0;0;0;1;1;0;2;0;0;0
integracoes_classificacao_wifi.html;0;0;0;0;0;1;1;0;0;0;0;0
integracoes_escala_de_fugulin.html;0;0;0;0;0;1;1;0;0;0;0;0
integracoes_escala_de_perroca.html;0;0;0;0;0;1;1;0;0;0;0;0
integracoes_metodo_de_capurro.html;0;0;0;0;0;1;1;0;1;0;0;1
item.template.html;0;0;0;0;0;1;1;0;0;0;0;0
johns.html;0;0;0;0;0;1;1;0;0;0;0;0
jouvet.html;0;0;0;0;0;1;1;0;0;0;0;0
katz.html;0;0;0;0;0;1;1;0;0;0;0;0
lachs.html;0;0;0;0;0;1;1;0;0;0;0;0
lanss.html;0;0;0;0;0;1;1;0;0;0;0;0
lawton.html;0;0;0;0;0;1;1;0;0;0;0;0
legislacoes.html;0;0;0;0;0;1;1;0;7;0;0;0
lei-organica-saude-8080-1990.html;0;0;0;0;0;0;1;0;4;0;0;0
lista-de-doencas-de-notificacao-compulsoria.html;0;0;0;0;0;1;1;0;72;0;0;0
manchester.html;0;0;0;0;0;1;1;0;0;0;0;0
mapa-do-site.html;0;0;0;0;0;1;1;0;1;0;0;0
matriz-de-risco.html;0;0;0;0;0;1;0;0;0;0;0;0
medicamentos.html;0;0;0;0;0;1;1;0;0;0;0;0
meem.html;0;0;0;0;0;1;1;0;1;0;0;0
meows.html;0;0;0;0;0;1;1;0;0;0;0;0
metasinternacionais.html;0;0;0;0;0;1;1;0;15;0;0;0
missao.html;0;0;0;0;0;1;1;0;0;0;0;0
moca.html;0;0;0;0;0;1;1;0;1;0;0;0
morse.html;0;0;0;0;0;1;1;0;0;0;0;0
nanda.html;0;0;0;0;0;1;1;0;6;0;0;0
news.html;0;0;0;0;0;1;1;0;0;0;0;0
nihss.html;0;0;0;0;0;1;1;0;0;0;0;0
nips.html;0;0;0;0;0;1;1;0;0;0;0;0
normas-regulamentadoras.html;0;0;0;0;0;1;1;0;38;0;0;0
norton.html;0;0;0;0;0;1;1;0;0;0;0;0
notificacao-compulsoria.html;0;0;0;0;0;1;1;0;1;0;0;0
nr1.html;0;0;0;0;0;1;1;0;7;0;0;0
objetivo.html;0;0;0;0;0;1;1;0;3;0;0;0
offline.html;0;0;0;0;0;1;0;0;0;0;0;0
ofras.html;0;0;0;0;0;1;1;0;0;0;0;0
painad.html;0;0;0;0;0;1;1;0;0;0;0;0
pelod.html;0;0;0;0;0;1;1;0;0;0;0;0
perroca.html;0;0;0;0;0;1;0;0;0;0;0;0
pews.html;0;0;0;0;0;1;1;0;0;0;0;0
politica.html;0;0;0;0;0;1;1;0;2;0;0;0
politicaapp.html;0;0;0;0;0;1;1;0;0;0;0;0
principios_sus.html;0;0;0;0;0;1;1;0;7;0;0;0
prism.html;0;0;0;0;0;1;1;0;0;0;0;0
qsofa.html;0;0;0;0;0;1;1;0;0;0;0;0
ramsay.html;0;0;0;0;0;1;1;0;0;0;0;0
rancholosamigos.html;0;0;0;0;0;1;1;0;0;0;0;0
rastreabilidade-cme.html;0;0;0;0;0;1;0;0;0;0;0;0
rede_de_frios_pni.html;0;0;0;0;0;0;1;0;8;0;0;8
regrasmedicacoes.html;0;0;0;0;0;1;1;0;10;0;0;0
responsbilidade_inteligencia_artificial.html;0;0;0;0;0;0;0;0;0;0;0;0
richmond.html;0;0;0;0;0;1;1;0;0;0;0;0
risktools.html;0;0;0;0;0;1;1;0;2;0;0;0
saps.html;0;0;0;0;0;1;1;0;0;0;0;0
sbar.html;0;0;0;0;0;1;1;0;0;0;0;0
silverman.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado-de-enfermagem-doencas-de-notificacao-compulsoria.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado-de-enfermagem-nucleo-de-seguranca-do-paciente.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado-de-enfermagem.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado-de-enfermagem2.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado-de-enfermagem3.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado-de-enfermagem4.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado_bloco-operatorio.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado_codigo_de_etica_enfermagem.html;0;0;0;0;0;0;1;0;0;0;0;0
simulado_ibam_bebedouro_enfermeiro_2024.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado_ibam_guarulhos_enfermeiro_2024.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado_ibam_guarulhos_enfermeiro_esf_2024.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado_ibam_japaratuba_sergipe_enfermeiro_2014.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado_lei_organica_do_sus_8080-90.html;0;0;0;0;0;0;1;0;0;0;0;0
simulado_pcr.html;0;0;0;0;0;1;1;0;0;0;0;0
simulado_vacinacao.html;0;0;0;0;0;1;1;0;0;0;0;0
sinan.html;0;0;0;0;0;1;1;0;5;0;0;0
sistema_sinbad.html;0;0;0;0;0;1;1;0;0;0;0;0
sofa.html;0;0;0;0;0;1;1;0;0;0;0;0
suporte-avancado-de-vida.html;0;0;0;0;0;1;1;0;36;0;0;0
tecnologiaverde.html;0;0;0;0;0;1;1;0;0;0;0;0
teorias-de-enfermagem.html;0;0;0;0;0;1;1;0;33;0;0;0
terminologias-de-enfermagem.html;0;0;0;0;0;1;1;0;0;0;0;0
termos.html;0;0;0;0;0;1;1;0;1;0;0;0
time-de-resposta-rapida.html;0;0;0;0;0;1;1;0;9;0;0;0
time-de-resposta-rapida_en.html;0;0;0;0;0;1;1;0;9;0;0;0
tinetti.html;0;0;0;0;0;1;1;0;0;0;0;0
tipos_de_seringas.html;0;0;0;0;0;1;1;0;8;0;0;0
vagasdeemprego.html;0;0;0;0;0;1;1;0;0;0;0;0
vigilancia.html;0;0;0;0;0;1;1;0;10;0;0;0
waterlow.html;0;0;0;0;0;1;1;0;0;0;0;0
zarit.html;0;0;0;0;0;1;1;0;0;0;0;0
en\aldrete.html;0;0;0;0;0;1;1;0;0;0;0;0
en\apache.html;0;0;0;0;0;1;1;0;0;0;0;0
en\apgar.html;0;0;0;0;0;1;1;0;0;0;0;0
en\asa.html;0;0;0;0;0;1;1;0;0;0;0;0
en\balancohidrico.html;0;0;0;0;0;1;1;0;0;0;0;0
en\ballard.html;0;0;0;0;0;1;1;0;0;0;0;0
en\barthel.html;0;0;0;0;0;1;1;0;0;0;0;0
en\berg.html;0;0;0;0;0;1;1;0;0;0;0;0
en\bishop.html;0;0;0;0;0;1;1;0;0;0;0;0
en\bps.html;0;0;0;0;0;1;1;0;0;0;0;0
en\braden.html;0;0;0;0;0;1;1;0;0;0;0;0
en\cam.html;0;0;0;0;0;1;1;0;0;0;0;0
en\capurro.html;0;0;0;0;0;1;1;0;0;0;0;0
en\checagem.html;0;0;0;0;0;1;1;0;0;0;0;0
en\cincinnati.html;0;0;0;0;0;1;1;0;0;0;0;0
en\conteudos_da_pagina.html;0;0;0;0;0;1;1;0;21;0;0;0
en\copsoq.html;0;0;0;0;0;1;1;0;0;0;0;0
en\copsoq3.html;0;0;0;0;0;1;1;0;0;0;0;0
en\cornell.html;0;0;0;0;0;1;1;0;0;0;0;0
en\cries.html;0;0;0;0;0;1;1;0;0;0;0;0
en\curb-65.html;0;0;0;0;0;1;1;0;0;0;0;0
en\diagnosticosnanda.html;0;0;0;0;0;1;0;0;0;0;0;0
en\downes.html;0;0;0;0;0;1;1;0;0;0;0;0
en\downton.html;0;0;0;0;0;1;1;0;0;0;0;0
en\elpo.html;0;0;0;0;0;1;1;0;0;0;0;0
en\entenda_copsoq.html;0;0;0;0;0;1;1;0;3;0;0;0
en\equipamentoscc.html;0;0;0;0;0;1;1;0;15;0;0;0
