Categoria,Item,Ocorrencias
Icone,fa-apple-whole,3
Icone,fa-toilet,3
Icone,fa-person-running,3
Icone,fa-people-arrows,3
Icone,fa-venus-mars,3
Icone,fa-seedling,3
Icone,fa-folder-tree,3
Icone,fa-play,3
Icone,fa-flask,3
Icone,fa-bookmark,3
Icone,fa-paper-plane,3
Icone,fa-trash,3
Icone,fa-person-pregnant,3
Icone,fa-angle-right,3
Icone,fa-calendar-days,2
Icone,fa-images,2
Icone,fa-upload,2
Icone,fa-location-dot,2
Icone,fa-arrow-down,2
Icone,fa-file-lines,2
Icone,fa-bolt,2
Icone,fa-thumbs-up,2
Icone,fa-comment-dots,2
Icone,fa-reply,2
Icone,fa-search,2
Icone,fa-th,2
Icone,fa-clipboard-list,2
Icone,fa-plus,2
Icone,fa-database,2
Icone,fa-file-signature,2
Icone,fa-image,1
Icone,fa-cloud-upload-alt,1
Icone,fa-bold,1
Icone,fa-italic,1
Icone,fa-underline,1
Icone,fa-cloud-arrow-up,1
Icone,fa-folder-open,1
Icone,fa-moon,1
Icone,fa-stopwatch,1
Icone,fa-calendar-check,1
Icone,fa-file-invoice-dollar,1
Icone,fa-briefcase-medical,1
Icone,fa-chart-pie,1
Icone,fa-chevron-left,1
Icone,fa-chart-simple,1
Icone,fa-sync-alt,1
Icone,fa-3x,1
Icone,fa-circle-notch,1
Icone,fa-file-shield,1
Icone,fa-edit,1
Icone,fa-redo,1
Icone,fa-earth-africa,1
Icone,fa-save,1
Icone,fa-shield-alt,1
Icone,fa-radiation,1
Icone,fa-file-code,1
Icone,fa-file-csv,1
Icone,fa-trash-alt,1
Icone,fa-table,1
Icone,fa-quote-left,1
Icone,fa-gavel,1
Icone,fa-hand-holding-heart,1
Icone,fa-qrcode,1
Icone,fa-file-import,1
Icone,fa-pen-to-square,1
Icone,fa-file-circle-check,1
Icone,fa-scalpel,1
Icone,fa-heart-circle-bolt,1
Icone,fa-bell,1
Icone,fa-glass-water,1
Icone,fa-info-,1
Icone,fa-smile,1
Icone,fa-volume-up,1
Icone,fa-hand-paper,1
Icone,fa-running,1
Icone,fa-undo,1
Icone,fa-sliders,1
Icone,fa-headphones,1
Icone,fa-share-nodes,1
Icone,fa-bars,1
CSS,/global-styles.css,3111
CSS,/public/output.css,3109
CSS,/css/fontawesome.min.css,850
CSS,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css,43
CSS,global-styles.css,14
CSS,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css,6
CSS,../public/output.css,2
CSS,styles/main.css,1
CSS,https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css,1
ArquivoFonte,/fonts/inter/inter-regular.woff2,2323
ArquivoFonte,/fonts/inter/inter-600.woff2,2323
ArquivoFonte,/fonts/inter/inter-700.woff2,2323
ArquivoFonte,/fonts/nunito/nunito-900.woff2,2162
ArquivoFonte,/fonts/nunito/nunito-regular.woff2,2156
ArquivoFonte,/fonts/nunito/nunito-700.woff2,2156
ArquivoFonte,/fonts/fa-solid/fa-solid-900.woff2,1529
ArquivoFonte,/fonts/fa-brands/fa-brands-400.woff2,1454
ArquivoFonte,/fonts/japanese/japanese-regular.woff2,147
ArquivoFonte,/fonts/japanese/japanese-700.woff2,147
ArquivoFonte,/fonts/korean/korean-regular.woff2,147
ArquivoFonte,/fonts/korean/korean-700.woff2,147
ArquivoFonte,/fonts/arabic/arabic-regular.woff2,146
ArquivoFonte,/fonts/arabic/arabic-700.woff2,146
ArquivoFonte,/fonts/devanagari/devanagari-regular.woff2,144
ArquivoFonte,/fonts/devanagari/devanagari-700.woff2,144
ArquivoFonte,/fonts/chinese/chinese-regular.woff2,143
