======================================================================
      RELATÓRIO DE LIMPEZA E PADRONIZAÇÃO DE HREFLANG         
======================================================================

Total de arquivos com intervenção: 1512
Total de arquivos já corretos/intactos: 20

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[PADRONIZADO] .\ofras.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\painad.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\pelod.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\perroca.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\pews.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\politica.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\politicaapp.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\politicadeacessibilidade.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\principios_sus.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\prism.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\qsofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\ramsay.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\rancholosamigos.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\richmond.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\saps.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\silverman.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado-de-enfermagem-doencas-de-notificacao-compulsoria.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado-de-enfermagem-nucleo-de-seguranca-do-paciente.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado-de-enfermagem.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado-de-enfermagem2.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado-de-enfermagem3.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado-de-enfermagem4.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado_bloco-operatorio.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado_pcr.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\simulado_vacinacao.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\sinan.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\sofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\suporte-avancado-de-vida.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\tabelas-vacinas-crianca.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\tecnologiaverde.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\teorias-de-enfermagem.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\terminologias-de-enfermagem.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\termos.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\time-de-resposta-rapida.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\tinetti.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\vagasdeemprego.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\vigilancia.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\waterlow.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\zarit.html | pt-br corrigido para pt-BR
